ppt_number,agency,watchlist_details,status,notes
218,Mumbai Police (MP),Absconder List,pending_recon,
219,Nagaland Police (NP),Most Wanted,pending_recon,
220,Tripura Police (TP),Wanted Criminal,pending_recon,
221,Uttar Pradesh Police (UP Police),Most Wanted,pending_recon,
222,Helpful Foundation (HF),Most Wanted Criminals,pending_recon,
223,Press Information Bureau,Accreditated Media Person List,pending_recon,
224,Criminal Investigation Department Maharashtra State (CIDMS),Absconder List,pending_recon,
225,Jharkhand Police (JP),List of Rewarded Naxal/Criminals,pending_recon,
226,Jharkhand Police (JP),Active Criminals,pending_recon,
227,Ministry of Home Affairs (MHA),Gazette Notifications,pending_recon,
228,Telecom Regulatory Authority of India (TRAI),Mobile Number Revocation list,pending_recon,
229,Reserve Bank of India (RBI),List of Full Fledged Money Changer (FFMC) Licenses Cancelled,pending_recon,
230,Reserve Bank of India (RBI),List of Non-Bank AD Cat-II Entities and FFMCs on which penalties have been imposed for contraventions of FEMA 1999,pending_recon,
231,Reserve Bank of India (RBI),List of Authorised Dealers Licenses Cancelled - Category I & II,pending_recon,
232,Rajasthan Police (RP),Wanted Persons,pending_recon,
233,Criminal Investigation Department of West Bengal (CIDWB),Most Wanted Criminals,pending_recon,
234,Association of Mutual Funds in India (AMFI),Application Reference Number Suspended/Terminated from doing Mutual Fund Business,pending_recon,
235,NSE Clearing Limited (NSECL),Arbitration Awards,pending_recon,
236,Metropolitan Stock Exchange (MSE),Trading Clearing Members,pending_recon,
237,Bombay Stock Exchange (BSE),Arbitration Awards,pending_recon,
238,Reserve Bank of India (RBI),Press Release,pending_recon,
239,Bombay Stock Exchange (BSE),Defaulting Clients,pending_recon,
240,National Stock Exchange (NSE),Defaulting Clients,pending_recon,
241,National Stock Exchange (NSE),Caution List,pending_recon,
242,Metropolitan Stock Exchange (MSE),Arbitral Awards,pending_recon,
243,National Securities Depository Limited (NSDL),List of PAN/Demat accounts deactivated on account of non-delivery of SCN/Orders as per SEBI Circular,pending_recon,
244,Insolvency and Bankruptcy Board of India (IBBI),Public Announcement,pending_recon,
